name                                                                                       , price         , link                                                         , shop            , details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Type, Model, Processor Brand, Processor, RAM  , Storage, GPU     , Screen, Color , OS
PC Portable HP Pavilion x360 2-in-1 14-ek1006nk i7 13è Gén 16Go 512Go SSD - Silver         , "2 909,000 DT", https://barbechli.tn/product/a5c1e5d3134938140f05b43625be9565, mediavision     , "-Processeur : i7-1355U ( UP TO 5.0 GHz Turbo Max 12Mo de mémoire Cache ) -Ecran :14"" Full HD Tactile-Mémoire RAM : 16Go -Disque Dur :512Go SSD-Système d'exploitation : Windows 11 Famille-Carte Graphique : Intel Iris Xᵉ Graphics-Connectivité : 1 port USB Type-C®, vitesse de transfert de 10 Gbit/s (alimentation USB, DisplayPort™ 1,4, HP Veille et Charge); 2 port USB Type-A, vitesse de transfert 5 Gbit/s; 1 port HDMI 2.1; 1 adaptateur secteur Smart Pin; 1 prise combinée casque/microphone -Autonomie de la batterie :Jusqu'à 9 heures et 30 minutes-Garantie : 1 an ."                                                                                                        ,     ,      , Intel          ,          , 16Go , 16Go   ,         , "14""",       , 
Pc Portable LENOVO THINKPAD E15 GÉN 4 I5 12ÈME GÉN 8GO 512GO SSD - NOIR                    , "2 649,000 DT", https://barbechli.tn/product/f323924915b85f6f6545522ab6423d97, mediavision     , "- Processeur: Intel Core i7-1255U (3,50 GHz up to 4,70 GHz, Mémoire cache 12 Mo, 10C/12T)- Mémoire 8 Go DDR4 * En Option ( 16Go / 24Go ) - Disque dur: 512 Go SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0 - Écran : 15,6"" Full HD (1 920 x 1 080)- Carte graphique: NVIDIA® GeForce MX550 2GB GDDR6- Système d'exploitation: FreeDos- Connectivité : avec Wi-Fi 6, Bluetooth 5.1,1 port USB 2.0, 1x USB 3.2 Gen 1 , 1x Thunderbolt™ 4 / USB4® 40Gbps, 1x HDMI®, jusqu'à 4K/60Hz, 1x Ethernet (RJ-45), 1x prise combinée casque/microphone (3,5 mm)- Lecteur d'empreintes digitales: Style tactile, intégré au bouton d'alimentation- Couleur: Noir- Garantie 2 ans. + Sacoche Lenovo T210 GRATUIT",     ,      , Intel          ,          , 8 Go , 8 Go   ,         , "6""" , Noir  , 
PC Portable LENOVO ThinkPad L13 Yoga Gen 4 i7 13è Gén 16Go 512Go SSD - Noir                , "4 999,000 DT", https://barbechli.tn/product/cf6ad36b85f3763df66ac4caff4f7247, mediavision     , "-Processeur AMD Ryzen 5 5600H,(up to 4.2 GHz, 19 Mo de cache)-Mémoire 16 Go-Disque dur: 512 Go SSD-Écran: 14"" IPS 2.8K (2880x1800) 90Hz Dolby Vision-Carte graphique: AMD Radeon Graphics -avec 2 haut-parleurs 2W en façade avec Dolby Atmos - Webcam 720 - USB 3.2 - 2x USB Type-C 3.2 - 1x USB Type-A - HDMI - Wifi 6 - Bluetooth 5.1-Système d'exploitation: Windows 11 Home 64-Couleur Gris-Garantie 1 an"                                                                                                                                                                                                                                                                               ,     ,      , AMD            ,          , 16 Go, 16 Go  ,         , "14""", Gris  , 
Pc Portable DELL LATITUDE 5430 I5 12ème Gén. - 16Go - 512Go SSD                            , "2 699,000 DT", https://barbechli.tn/product/34a65c2ec1101a953938372bf728f9ff, mediavision     , "- Processeur INTEL® CORE™ I5-1145G7 (8 Mo de mémoire cache, 4 cœurs, 8 threads, 2,60 GHz à 4,40 GHz, 28 W)- Mémoire: 16 GO DDR4 - Disque dur: 512 GO SSD - Taille écran: 14 POUCES FHD- Carte Graphique: Intel® Iris® Xe- Système d'exploitation : 64 bits Ubuntu® Linux® - Garantie : 3 ANS"                                                                                                                                                                                                                                                                                                                                                                                                  ,     ,      , INTEL          ,          , 16 GO, 16 GO  ,         ,       ,       , 
PC Portable HP ENVY x360 2-in-1 15-fe0002nk i5 13è Gén 8Go 512Go SSD - Silver              , "2 729,000 DT", https://barbechli.tn/product/a98c44323f1f051f19050b57c205611f, mediavision     , "-Processeur : Intel Core i5-1335U (jusqu’à 4,6 GHz avec la technologie Intel® Turbo Boost, 12 Mo de mémoire cache L3, 10 cœurs, 12 threads) -Mémoire RAM : 8 Go de mémoire RAM LPDDR5 - 5200 MHz (embarquée)-Disque Dur :512Go SSD-Ecran :15,6"" Full HD Tactile-Système d'exploitation : Windows 11 Famille-Carte Graphique : Intel® Iris® Xᵉ-Connectivité : Wi-Fi, Bluetooth, 2x Thunderbolt™ 4 avec USB Type-C, 2x USB Type-A, 1x HDMI 2.1, 1 prise combinée casque/microphone-Clavier complet gris clair rétroéclairé-Couleur : Aluminium argent naturel-Type de batterie : Batterie Li-ion polymère 4 cellules de 55 Wh-Autonomie de la batterie : 11 heures max-Garantie : 1 an ."       ,     ,      , Intel          ,          , 8 Go , 8 Go   ,         , "6""" , gris  , 
PC PORTABLE LENOVO THINKPAD I5-1335U / 24 Go / 512SSD / AVEC SAC LENOVO OFFERT             , "2 549,000 DT", https://barbechli.tn/product/060d58ae8615f3577a62d078163159d9, tunisianet      , "Ecran 14 IPS WUXGA - Processeur Intel Core i5-1335U , 13è Génération, up to 4.60 Ghz, 12 Mo de mémoire cache - Mémoire 8 Go - Disque 512GB SSD M.2 2242 PCIe - Webcam FHD 1080p - USB 3.2 Type-C - 2x USB Type-A 3.2 - USB 2.0 - HDMI - Ethernet (RJ-45) - Wifi - Bluetooth - Couleur Gris - Garantie 2 ans AVEC SAC LENOVO OFFERT"                                                                                                                                                                                                                                                                                                                                                            ,     ,      , Intel          ,          , 8 Go , 8 Go   ,         ,       , Gris  , 
Apple MacBook Air Retina M2 / 8Go / 256 Go / Silver                                        , "4 059,000 DT", https://barbechli.tn/product/339726310d6260b527ed2126b16035a9, tunisianet      , "Ecran 15.6"" LED IPS Retina - Résolution : 2880 x 1864 Pixels - Processeur Apple M2 (8 core CPU / 10 core GPU) - Mémoire 8 Go - Disque 256 Go - Webcam - Haut‑parleurs stéréo à gamme dynamique élevée - Réseau de 3 microphones - Autonomie Jusqu'à 18 heures - 2 ports Thunderbolt - Bluetooth 5.0 - USB-C - Jack 3.5mm - Wi-Fi 6 AX - Couleur Silver - Garantie 1 an"                                                                                                                                                                                                                                                                                                                       ,     ,      , Apple          ,          , 8 Go , 8 Go   ,         , "6""" , Silver, 
Pc Portable Lenovo ThinkPad T14 Gen 4 / i5-1335U / 16 Go / 1 To SSD / Windows 11 Pro / Noir, "4 279,000 DT", https://barbechli.tn/product/7f60de0176f029ee6630b41831dbe3f8, tunisianet      , "Ecran 14"" WUXGA IPS Anti-éblouissement - Processeur Intel i7-1355U, 13è Génération, up to 5 Ghz, 12 Mo de mémoire cache - Mémoire 16 Go - Disque 512 Go SSD M.2 PCIe 3.0x4 NVMe - Carte graphique Intel® Iris® Xe UHD intégrées - Wifi 6 - 1x lecteur carte microSD - 1x HDMI - 2x Thunderbolt - 4 - 2x USB 3.2 Gen 1 - 1x USB-C 3.2 Gen 2 - 1x Ethernet (RJ-45) - 1x Casque /prise combo microphone (3.5mm) - Windows 11 - Couleur : Gris - Garantie 3 ans"                                                                                                                                                                                                                                  ,     ,      , Intel          ,          , 16 Go, 16 Go  ,         , "14""", Gris  , 
APPLE MacBook Pro M3 Pro 18Go 512Go SSD - Noir Sidéral                                     , "9 199,000 DT", https://barbechli.tn/product/c302b4a1e958189ed8123b272cf12b0e, tunisianet      , "Écran IPS LG avec AMD FreeSync Technologie Full HD UltraWide 34” - Résolution (2560 x 1080), 75 Hz - Rapport d’aspect 21:9 - Luminosité (min.) 200 cd/㎡ - Luminosité (typ.) 250 nits - Taux de contraste (min.) 700:1 - Taux de contraste (Typ.) 1000:1 - Temps de réponse 1ms (GtG) - Angle de vision H/V 178° / 178° - Entrées Vidéo HDMI (x2) - Technologies HDR AMD FreeSync - Rétroéclairage LED (LCD LED) - Inclinaison -5~20° - Couleur Noir - Dimensions 364.9 x 816.7 x 65.3 mm - Poids 4.90 Kg - Garantie 1 an"                                                                                                                                                                     ,     ,      , AMD            ,          ,      ,        ,         , 34”   , Noir  , 
Lenovo ThinkPad E16 Gen 2 | Ultra 5 125U | 8Go RAM | 512Go SSD                             , "2 895,000 DT", https://barbechli.tn/product/08797295a2b5aba9029d74d2d0209ec8, electrotounes   , "Écran : 16"" WUXGA (1920x1200) IPS 300nits antireflet, 45% NTSC Processeur : Intel Core Ultra 7 155H ( 16coeurs / jusqu'à 4,8 GHz, 24 Mo ) Mémoire : 16 Go SO-DIMM DDR5-5600 stockage : SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 de 512 Go Carte Graphique : Integrated Intel Arc Graphics Clavier : Rétroéclairé, français Wi-Fi 6E, 802.11ax 2x2 + BT5.3 Système : FreeDos Couleur : Noir Garantie : 1 an +Lenovo 15,6"" Laptop Casual Toploader offerte"                                                                                                                                                                                                                                       ,     ,      , Intel          ,          , 16 Go, 16 Go  ,         , "16""", Noir  , 
PC PORTABLE HP 15-DW3085NK I3 11È GÉN 8GO 256GO SSD - GRIS                                 , "995,000 DT"  , https://barbechli.tn/product/e47372400f9a512e8f5b477f22acbff6, electrotounes   , "Écran: 15.6 Full HD Processeur: Intel Core i5-1135G7 ( 4 cœurs / 8 threads / jusqu’à 4,2 GHz) Mémoire: 8 Go de mémoire RAM DDR4-2666 MHz (2 x 4 Go) Disque dur : SSD PCIe NVMe M.2 256 Go Carte Graphique: Intel Iris Xᵉ Système d'exploitation: Windows 11 Couleur: Gris Garantie: 1 an +Souris Optique Jeway Gaming &amp; CASQUE BLUETOOTH P47 NOIR"                                                                                                                                                                                                                                                                                                                                         ,     ,      , Intel          ,          , 8 Go , 8 Go   ,         ,       , Gris  , 
HP 15-fd0298nk | Intel N100 | 4Go RAM | 256Go SSD | Noir                                   , "705,000 DT"  , https://barbechli.tn/product/29e8ba5472df08e76c2b91eff1b5cfaf, electrotounes   , "Écran : 15.6"" HD Processeur : Intel Celeron N100 ( jusqu’à 3,4 GHz Turbo Boost, 6 Mo de mémoire cache L3, 4 cœurs, 4 threads) Mémoire : 8 Go DDR4 3200MHz Disque : NVMe M.2 256 Go Carte Graphique : Intel UHD Système : FreeDOS Connectivité: Wi-Fi 6 (1x1) et Bluetooth 5.3 Couleur : Noir Garantie : 1 an"                                                                                                                                                                                                                                                                                                                                                                                 ,     ,      , Intel          ,          , 8 Go , 8 Go   ,         , "6""" , Noir  , 
"Apple MacBook AIR M1 13"" 8Go/256 Go - Gris (MGN63FN/A)"                                  , "3 299,000 DT", https://barbechli.tn/product/28ac43d896232c1de875886ac97bc5d9, tunisianet      , "Ecran 13.3"" QHD+ LED Retina IPS 2560 x 1600 pixels True Tone - Processeur Apple M1 (CPU 8 coeurs / GPU 7 coeurs / Neural Engine 16 coeurs) - Mémoire 8 Go - Disque 256 Go SSD - Wifi 6 - Jack 3.5mm - Bluetooth 5.0 - 2x Thunderbolt 3/USB-C - Webcam + Micro - Clavier Magique rétroéclairé - Apple macOS Big Sur - Capteur Touch ID - Couleur Gris sidéral - Garantie 1 an"                                                                                                                                                                                                                                                                                                                 ,     ,      , Apple          ,          , 8 Go , 8 Go   ,         , "3""" , Gris  , 
PC PORTABLE ASUS E210MA INTEL CELERON N4020 4GO 128 GO EMMC- BLEU                          , "999,000 DT"  , https://barbechli.tn/product/9d36956977be510dc3867cf7425f6027, jacaranda       , "Écran 14"" HD - Processeur: Intel Celeron N4020 (1,10 GHz up to 2.80 GHz, 4 Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 - Mémoire RAM: 4 Go DDR4 - Disque Dur: 128 Go eMMC - Carte Graphique: Intel UHD Graphics 600 avec Wi-Fi, Bluetooth,1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 1x HDMI 1.4, 1x prise audio combo 3,5 mm, Lecteur de carte micro SD - Clavier Chiclet - Couleur: Blanc - Garantie: 1 an"                                                                                                                                                                                                                              ,     ,      , Intel          ,          , 4 Go , 4 Go   ,         , "14""",       , 
Lenovo IdeaPad 3 15ADA05 | Ryzen 7 3700U | 8Go RAM | 512Go SSD | Gris                      , "1 879,000 DT", https://barbechli.tn/product/485d2628c2510f6cca675296b8ffc9c0, jacaranda       , "Ecran 15.6"" FHD - Processeur AMD Ryzen 3 3250U, jusqu'à 3.5 GHz, 4 Mo de mémoire cache totale - Mémoire 8 Go - Disque 512 Go SSD - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 2.0 - 2x USB 3.2 - Couleur Gris - Garantie 1 an"                                                                                                                                                                                                                                                                                                                                                                                                            ,     ,      , AMD            ,          , 8 Go , 8 Go   ,         , "6""" , Gris  , 
Pc Portable ASUS Zenbook 14 Flip OLED I7 13ème Gén. - 16Go - 1To SSD                       , "4 449,000 DT", https://barbechli.tn/product/f6dfcb2b293d614c70babe74fbb83b5d, jacaranda       , "Écran 13.3'' FULL HD Tactile - Processeur: Intel® Core i7-1165G7 (4,70 GHz Turbo max, 12 Mo Mémoire cache, Quad-Core) - Système d'exploitation: Windows 10 Famille - Mémoire RAM: 16 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: Intel HD Graphics avec WiFi, Bluetooth, 2x Thunderbolt™ 4 (prend en charge l'affichage/l'alimentation), 1x USB 3.2 Gen 1 Type-A et HDMI 1.4 - Clavier Chiclet rétroéclairé - Garantie: 1 an"                                                                                                                                                                                                                                                          ,     ,      , Intel          ,          , 16 Go, 16 Go  ,         ,       ,       , 
Pc Portable ASUS E210MA Intel Celeron N4020 - 4Go - 128 Go EMMC - Bleu                     , "499,000 DT"  , https://barbechli.tn/product/3d1d5342667c3f8d8c52f1b168689ec3, jacaranda       , "Écran 11.6"" HD - Processeur: Intel Celeron N4020 (1,10 GHz up to 2.80 GHz, 4 Mo de mémoire cache, Dual-Core)- Système d'exploitation: Free Dos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 128 Go eMMC - Carte Graphique: Intel HD Graphics avec Wi-Fi, Bluetooth, USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A, HDMI 1.4 - Clavier Chiclet Avec NumPad - Couleur: Bleu - Garantie: 1 an"                                                                                                                                                                                                                                                                                            ,     ,      , Intel          ,          , 4 Go , 4 Go   ,         , "6""" , Bleu  , 
Pc Portable ASUS X515FA I3 10éme Gén. - 4Go - 1To - Silver                                 , "999,000 DT"  , https://barbechli.tn/product/e16cd5cb6cbd365d1e382d0e942174bb, jacaranda       , "Écran 15.6"" Full HD - Processeur: Intel Core i3-10110U (2.10 GHz up to 4.10 GHz Turbo max, 4Mo Mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 4Go - Disque Dur: 1 To HDD - Carte Graphique: Intel HD Graphics avec Wifi, Bluetooth, 1x USB Type-C 3.2 Gen 1, 2x USB Type-A 2.0, 1x USB Type-A 3.2 Gen 1, 1x DC-in, 1x HDMI 1.4 et lecteur de carte Micro SD - Couleur: Silver - Garantie: 1 an"                                                                                                                                                                                                                                                        ,     ,      , Intel          ,          , 4Go  , 4Go    ,         , "6""" , Silver, 
Pc portable Dell Latitude 5550 / Ultra 5 125U / 8 Go DDR5 / 512 Go SSD / Silver            , "3 039,000 DT", https://barbechli.tn/product/3d1292e850ce16f10c4fd219b3dd1381, tunisianet      , "Écran 15.6"" Full HD (1920 x 1 080 px), 60 Hz, IPS, antiéblouissement - Processeur Intel Core Ultra 5 125U, (jusqu‘à 4.3 GHz, 12 Mo de mémoire cache) - Mémoire 32 Go DDR5 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel Graphics intégrée - Webcam infrarouge FHD HDR - 2x Thunderbolt 4 USB-C - 3x USB 3.2 - 1x HDMI 2.1 - 1x port audio universel - 1 port Ethernet RJ45 - 1x logement de carte microSD - 2x Haut-parleurs stéréo avec technologie Realtek Waves MaxxAudio 4 W - Wi-Fi 6E - Bluetooth 5.3 - FreeDos - Couleur Silver - Garantie 1 an"                                                                                                                                ,     ,      , Intel          ,          , 32 Go, 32 Go  ,         , "6""" , rouge , 
Portable Lenovo IdeaPad 1 15AMN7 AMD Athlon 8Go 256Go SSD Gris                             , "1 069,000 DT", https://barbechli.tn/product/4a6f2388d798ca8670cab5f1759b3cf9, technopro_online,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,     ,      ,                ,          ,      ,        ,         ,       ,       , 
PC Portable LENOVO ThinkBook 16 G7 IML Ultra 5 125U 16Go 512Go SSD - Gris                  , "2 245,000 DT", https://barbechli.tn/product/037f62f505adce5c09c45f5f45dfb082, mytek           , "Ecran 16"" WUXGA, IPS - Processeur: Intel Core Ultra 5 125U (Up to 4.3 GHz Turbo max, 12 Mo de mémoire cache, 12-Cores) - Systéme d'exploitation: FreeDos - Mémoire: 32 Go DDR5-5600 - Disque dur: 512Go SSD - Carte graphique: Intel® Graphics avec Wifi, Bluetooth, 2x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 2, 1x USB-C Thunderbolt™ 4 / USB4, 1x HDMI 2.1, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte SD - Lecteur d'empreintes digitales Style tactile - Couleur: Gris arctique - Garantie: 1 an"                                                                                                                                                            ,     ,      , Intel          ,          , 32 Go, 32 Go  ,         , "16""", Gris  , 
PC Portable ASUS Vivobook 15 X1504VA Intel Core 7 150U 8G 512Go SSD - Silver               , "2 249,000 DT", https://barbechli.tn/product/90988c4976644c5c0033c031016b3a8c, mytek           , "Écran 15.6"" Full HD - Processeur: Intel® Core™ 7 150U (Up to 5,4 GHz Turbo max, 12Mo Mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 24 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: Intel® Graphics avec Wifi, Bluetooth, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x Prise audio combinée 3,5 mm, 1x entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 2 ans"                                                                                                                                                                                                                                  ,     ,      , Intel          ,          , 24 Go, 24 Go  ,         , "6""" , Silver, 
