"id","company_path","description","price","price_2","currency","discount_percentage","company","type","model","processor_brand","processor","ram","gpu","screen","color","os","storage"
"https://barbechli.tn/product/3b550205b169a439cf301a7516d13353","https://www.tunisianet.com.tn/pc-portable-tunisie/83745-pc-portable-lenovo-thinkpad-e16-gen-2-ultra-7-155h-32-go-ddr5-noir-avec-sacoche-lenovo-offerte.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","Écran 16"" WUXGA (1920x1200 px), IPS, antireflet - Processeur Intel Core Ultra 7 155H, (jusqu'à 4.8 GHz, 24 Mo de mémoire cache) - Mémoire 32 Go DDR5-5600 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel intégrée - 2x Enceintes stéréo 2W, Dolby Atmos, audio par HARMAN - Caméra Hybride FHD 1080p + IR avec obturateur de confidentialité - Clavier Rétroéclairé - Ethernet - Wi-Fi 6E - Bluetooth 5.3 - 2x USB-A 3.2 - 1x USB-C 3.2 - 1x USB-C (Thunderbolt 4) - 1x HDMI 2.1 - 1x prise combinée casque/microphone (3,5 mm) - 1x Ethernet (RJ-45) - FreeDOS - Couleur Noir - Garantie 2 ans Avec Sacoche Lenovo Offerte","3349",NULL,"DT",NULL,"tunisianet","PC Portable","Lenovo Offerte","Intel","Intel Core Ultra 7 155H","32 Go",NULL,"16""","Noir","FreeDOS",NULL
"https://barbechli.tn/product/77bae15182bcaabc115643aebfc65022","https://www.technopro-online.com/pc-portable-gamer-lenovo-loq3-15iax9-i5-12gen-16go-512go-ssd-noir.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","","2399",NULL,"DT",NULL,"technopro_online",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"https://barbechli.tn/product/1903f758114a6964b64b767f400eb838","https://www.technopro-online.com/pc-portable-gamer-msi-thin-15-b13ucx-i5-13e-gen-16go-512-ssd-rtx-2050.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","","2429",NULL,"DT",NULL,"technopro_online",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"https://barbechli.tn/product/bc27f1f5b9967d4838c4429860e16229","https://www.technopro-online.com/pc-portable-gamer-lenovo-loq-15irh8-i5-12eme-gen-24go-rtx-2050.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","Accessoire:","2279",NULL,"DT",NULL,"technopro_online","PC Portable",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"https://barbechli.tn/product/90988c4976644c5c0033c031016b3a8c","https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-intel-core-7-150u-24g-512go-ssd-silver.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","Écran 15.6"" Full HD - Processeur: Intel® Core™ 7 150U (Up to 5,4 GHz Turbo max, 12Mo Mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 24 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: Intel® Graphics avec Wifi, Bluetooth, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x Prise audio combinée 3,5 mm, 1x entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 2 ans","2289",NULL,"DT",NULL,"mytek","PC Portable",NULL,"Intel",NULL,"24 Go",NULL,"15.6""","Silver","Windows 11","512 Go SSD"
"https://barbechli.tn/product/55f5c0f9bc1d27095283b6426397c7d2","https://www.tunisianet.com.tn/pc-portable-tunisie/81617-pc-portable-asus-tuf-gaming-a15-fa506nfr-ryzen-7-7435hs-rtx-2050-4g-16-go-512-go-ssd-windows-11-noir-cadeau-offert.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","Écran 15.6"" Full HD (1920 x 1080), antireflet - Taux de rafraîchissement: 144 Hz - Processeur AMD Ryzen 7 7435HS, (jusqu'à 4.5 GHz, 20 Mo de mémoire cache) - Mémoire 16 Go DDR5 - Disque SSD M.2 NVMe 512 Go - Carte graphique NVIDIA GeForce RTX 2050, 4 Go de mémoire GDDR6 dédiée - Wi-Fi 6 - Bluetooth 5.1 - Caméra HD 720P - Clavier Chiclet rétroéclairé 1 zone RVB - Système à 2 haut-parleurs - 1x port LAN RJ45 - 3x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 2.0b - 1x prise audio combinée 3.5 mm - Windows 11 - Couleur Noir - Garantie 1 an+ Cadeau Offert","2679",NULL,"DT",NULL,"tunisianet","PC Portable",NULL,"AMD","AMD Ryzen 7","16 Go","RTX 2050","15.6""","Noir","Windows 11",NULL
"https://barbechli.tn/product/6866d46259ae1d36fc0d76106ae0614a","https://www.mediavision.tn/pc-portable/3990-portable-asus-chromebook-intel-pentium-n6000-8-go-32go-emmc-tunisie.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","-Processeur: Intel Pentium N6000 Quad Core (1.1 Ghz Up To 3.3 GHz, 4 Mo Cache)-Mémoire: 8Go LPDDR4X-Disque Dur : 32 Go eMMC-Carte Graphique: Intel UHD Graphics-Système d'exploitation :Chrome ZTE-Écran : 15.6"" Full HD-Charnière : 180°-Connectivité : Wi-Fi6, Bluetooth 5, 2xUSB-A 3.2 Gen1, 2xUSB-C 3.2 Gen1, 1xaudio Jack, lecteur de Micro-SD,-Garantie : 2 ans","939",NULL,"DT",NULL,"mediavision","PC Portable",NULL,"Intel","Intel Pentium N6000","8Go","Intel UHD Graphics","15.6""",NULL,NULL,"32 Go eMMC"
"https://barbechli.tn/product/2c0b6f98083ce3602c806de03573151c","https://electrotounes.tn/dell-vostro-3520--intel-i3-1215u--4go-ram--256go-ssd.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","Écran : 15,6"" FHD, 120Hz Processeur : Intel Core i3-1215U ( 6 cœurs / 8 Threads / jusqu'à 4.4 GHz - Cache 12 Mo ) Mémoire : 4 Go DDR4 Disque : 256 Go SSD M.2 NVMe Carte Graphique : Intel UHD Graphics Système : Ubuntu Couleur : Noir Garantie : 1 an +Souris Optique Jeway Gaming &amp; CASQUE BLUETOOTH P47 NOIR OFFERTE","1199",NULL,"DT",NULL,"electrotounes","PC Portable",NULL,"Intel","Intel Core i3","4 Go","Intel UHD Graphics",NULL,"Noir","Ubuntu","256 Go SSD"
"https://barbechli.tn/product/a9cef5bb85cedae1f935e016a4172b72","https://www.mediavision.tn/pc-portable/4033-pc-portable-hp15-fd0027nk-intel-i3-n305-8go-512go-ssd-gris-tunisie.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","-Processeur : Intel Core I3-N305 (jusqu’à 3,8 GHz avec la technologie Intel® Turbo Boost, 6 Mo de mémoire cache L3, 8 cœurs, 8 threads) -Ecran :15,6"" Full HD-Mémoire RAM : 8Go DDR4 3200 DIMM-Disque Dur :512Go SSD-Système d'exploitation : Windows 11 Famille-Carte Graphique Intel UHD Graphics -Connectivité : Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x prise combinée casque/microphone, 1x prise adaptateur secteur Smart Pin-Couleur: Gris -Type de batterie :Batterie Li-ion polymère 3 cellules 41 Wh-Autonomie de la batterie :Jusqu’à 7 heures et 30 minutes-Garantie : 1 an .","1899",NULL,"DT",NULL,"mediavision","PC Portable",NULL,"Intel","Intel Core I3","8Go","Intel UHD Graphics",NULL,"Gris","Windows 11","512Go SSD"
"https://barbechli.tn/product/ef5e9e5d2e3efd56e10f80bc26ad1a0f","https://www.mediavision.tn/pc-portable/2494-pc-portable-acer-aspire-3-a315-58-i3-11eme-gen-8go-1to-tunisie.html?utm_source=barbechli&utm_medium=cpc&utm_campaign=product","- Processeur: Intel Core i3-1115G4 (3.00 GHz up to 4.10 GHz Turbo max, 6 Mo de mémoire cache)- Mémoire RAM: 8 Go DDR4 *En Option : ( 12Go / 20Go );- Disque Dur: 1To HDD *En Option :SSD NVMe ( 256Go / 512Go / 1To );- Carte Graphique: Intel® UHD Graphics- Écran 15.6"" FHD(1920 x 1080)- Système d'exploitation: FreeDos- Connectivité : avec Wi-Fi, Bluetooth,: 2 USB 2.0 /1 USB 3.0 /HDMI,, RJ45 extension connector, headphone / microphone combo jack- Couleur: Rouge- Garantie: 1 an","859",NULL,"DT",NULL,"mediavision","PC Portable",NULL,"Intel","Intel Core i3","8 Go",NULL,"15.6""","Rouge","FreeDos",NULL
